"species","vlength","gear","port","mval_mean","mprice_mean","mkg_mean"
"DPS","VL1824","OTB","IMPERIA",109.102550397878,0.569964815173315,23722.2342032559
"DPS","VL1824","OTB","LIVORNO",48.4900223990569,0.253317695632584,10543.215201447
"DPS","VL1824","OTB","PORTO ERCOLE",87.2820403183024,0.455971852138652,18977.7873626047
"DPS","VL1824","OTB","PORTO SANTO STEFANO",123.090056859144,0.643037227375022,26763.5462805963
"DPS","VL1824","OTB","PORTOFERRAIO",24.2450111995284,0.126658847816292,5271.60760072352
"DPS","VL1824","OTB","SAVONA",145.470067197171,0.759953086897753,31629.6456043411
"DPS","VL1824","OTB","VIAREGGIO",145.470067197171,0.759953086897753,31629.6456043411
"DPS","VL2440","OTB","ANZIO",0.786610576923077,0.000299738909848676,537.055231794054
"DPS","VL2440","OTB","CIVITAVECCHIA",1.69423816568047,0.000645591498135611,1156.73434540258
"DPS","VL2440","OTB","LA SPEZIA",11.0125480769231,0.00419634473788147,7518.77324511676
"DPS","VL2440","OTB","PORTO SANTO STEFANO",0.847119082840237,0.000322795749067805,578.367172701289
"DPS","VL2440","OTB","PORTOFERRAIO",9.1771233974359,0.00349695394823456,6265.64437093063
"HKE","VL1218","OTB","CHIAVARI",201.415068181818,1.27182350283535,1838.53296390549
"HKE","VL1218","OTB","FIUMICINO",20.9807362689394,0.132481614878682,191.513850406822
"HKE","VL1218","OTB","GENOVA",335.69178030303,2.11970583805891,3064.22160650915
"HKE","VL1218","OTB","IMPERIA",83.9229450757576,0.529926459514728,766.055401627286
"HKE","VL1218","OTB","LIVORNO",223.79452020202,1.41313722537261,2042.81440433943
"HKE","VL1218","OTB","PIOMBINO",335.69178030303,2.11970583805891,3064.22160650915
"HKE","VL1218","OTB","PORTO ERCOLE",134.276712121212,0.847882335223565,1225.68864260366
"HKE","VL1218","OTB","PORTO SANTO STEFANO",25.8224446386946,0.163054295235301,235.709354346857
"HKE","VL1218","OTB","PORTOFINO",335.69178030303,2.11970583805891,3064.22160650915
"HKE","VL1824","OTB","ANZIO",50.5654133825944,0.285101901378781,20401.3727945428
"HKE","VL1824","OTB","CHIAVARI",21.7820242263484,0.122813126747783,8788.28366534149
"HKE","VL1824","OTB","CIVITAVECCHIA",46.0773589403523,0.25979699888954,18590.6000612993
"HKE","VL1824","OTB","FIUMICINO",51.051619280504,0.287843265815115,20597.5398406441
"HKE","VL1824","OTB","IMPERIA",40.8412954244032,0.230274612652092,16478.0318725153
"HKE","VL1824","OTB","LIVORNO",18.1516868552903,0.102344272289819,7323.56972111791
"HKE","VL1824","OTB","PORTO ERCOLE",32.6730363395225,0.184219690121674,13182.4254980122
"HKE","VL1824","OTB","PORTO SANTO STEFANO",46.0773589403523,0.25979699888954,18590.6000612993
"HKE","VL1824","OTB","PORTOFERRAIO",9.07584342764515,0.0511721361449094,3661.78486055896
"HKE","VL1824","OTB","SAVONA",54.4550605658709,0.307032816869456,21970.7091633537
"HKE","VL1824","OTB","VIAREGGIO",54.4550605658709,0.307032816869456,21970.7091633537
"HKE","VL2440","OTB","ANZIO",15.4979455357143,0.0642606443701105,396.277452143474
"HKE","VL2440","OTB","CIVITAVECCHIA",33.3801903846154,0.138407541720238,853.520666155176
"HKE","VL2440","OTB","LA SPEZIA",216.9712375,0.899649021181547,5547.88433000864
"HKE","VL2440","OTB","PORTO SANTO STEFANO",16.6900951923077,0.069203770860119,426.760333077588
"HKE","VL2440","OTB","PORTOFERRAIO",180.809364583333,0.749707517651289,4623.23694167387
"HOM","VL1218","OTB","CHIAVARI",237.094756130608,0.731135782232979,230.377272727273
"HOM","VL1218","OTB","FIUMICINO",24.6973704302716,0.0761599773159353,23.9976325757576
"HOM","VL1218","OTB","GENOVA",395.157926884346,1.21855963705496,383.962121212121
"HOM","VL1218","OTB","IMPERIA",98.7894817210866,0.304639909263741,95.9905303030303
"HOM","VL1218","OTB","LIVORNO",263.438617922897,0.812373091369976,255.974747474747
"HOM","VL1218","OTB","PIOMBINO",395.157926884346,1.21855963705496,383.962121212121
"HOM","VL1218","OTB","PORTO ERCOLE",158.063170753739,0.487423854821986,153.584848484848
"HOM","VL1218","OTB","PORTO SANTO STEFANO",30.3967636064882,0.0937353566965357,29.5355477855478
"HOM","VL1218","OTB","PORTOFINO",395.157926884346,1.21855963705496,383.962121212121
"HOM","VL1824","OTB","ANZIO",1897.47554180499,0.848801207759916,2067.33681456985
"HOM","VL1824","OTB","CHIAVARI",817.374079546763,0.365637443342733,890.545089353167
