"MMSI","id","gear","vlength"
"247090850","1401:112:4","OTB","VL1824"
"247096440","1401:112:2","OTB","VL1824"
"247096440","1401:112:3","OTB","VL1824"
"247096440","1401:112:4","OTB","VL1824"
"247149790","1401:112:1","OTB","VL1218"
"247067010","1401:112:2","OTB","VL1824"
"247067010","1401:112:3","OTB","VL1824"
"247067010","1401:112:4","OTB","VL1824"
"247092810","1401:112:1","OTB","VL1824"
"247119090","1401:112:1","OTB","VL1824"
"247081850","1401:112:1","OTB","VL1824"
"247080330","1401:112:1","OTB","VL1824"
"247080330","1401:112:2","OTB","VL1824"
"247080330","1401:112:3","OTB","VL1824"
"247080330","1401:112:4","OTB","VL1824"
"247090950","1401:112:1","OTB","VL1824"
"247090950","1401:112:2","OTB","VL1824"
"247090950","1401:112:3","OTB","VL1824"
"247090950","1401:112:4","OTB","VL1824"
"247096450","1401:112:1","OTB","VL2440"
"247096450","1401:112:2","OTB","VL2440"
"247096450","1401:112:3","OTB","VL2440"
"247096450","1401:112:4","OTB","VL2440"
"247123920","1401:112:1","OTB","VL1824"
"247092870","1401:112:1","OTB","VL1824"
"247092870","1401:112:2","OTB","VL1824"
"247092870","1401:112:3","OTB","VL1824"
"247092870","1401:112:4","OTB","VL1824"
"247092920","1401:112:1","OTB","VL1824"
"247091090","1401:112:1","OTB","VL1824"
"247093030","1401:112:1","OTB","VL1824"
"247091090","1401:112:2","OTB","VL1824"
"247091090","1401:112:3","OTB","VL1824"
"247091090","1401:112:4","OTB","VL1824"
"247892860","1401:112:1","OTB","VL1824"
"247093010","1401:112:1","OTB","VL1824"
"247093060","1401:112:1","OTB","VL1824"
"247099360","1401:112:1","OTB","VL1824"
"247081850","1401:112:2","OTB","VL1824"
"247081850","1401:112:3","OTB","VL1824"
"247081850","1401:112:4","OTB","VL1824"
"247892860","1401:112:3","OTB","VL1824"
"247096930","1401:112:3","OTB","VL1824"
"247093030","1401:112:3","OTB","VL1824"
"247123920","1401:112:3","OTB","VL1824"
"247092790","1401:112:3","OTB","VL1824"
"247099360","1401:112:3","OTB","VL1824"
"247093010","1401:112:3","OTB","VL1824"
"247092920","1401:112:3","OTB","VL1824"
"247093060","1401:112:3","OTB","VL1824"
"247093040","1401:112:3","OTB","VL1824"
"247092830","1401:112:3","OTB","VL1824"
"247149790","1401:112:3","OTB","VL1218"
"247119090","1401:112:3","OTB","VL1824"
"247092770","1401:112:3","OTB","VL1824"
"247092810","1401:112:3","OTB","VL1824"
"247094320","1401:112:3","OTB","VL1824"
"247110830","1401:112:3","OTB","VL1824"
"247094330","1401:112:3","OTB","VL1824"
"247099820","1401:112:3","OTB","VL1824"
"247122360","1401:112:3","OTB","VL1824"
"247128190","1401:112:3","OTB","VL1824"
"247111950","1401:112:3","OTB","VL1824"
"247094340","1401:112:3","OTB","VL1824"
"247094260","1401:112:3","OTB","VL2440"
"247152290","1401:120:1","OTB","VL1824"
"247152290","1401:120:2","OTB","VL1824"
"247152290","1401:120:3","OTB","VL1824"
"247152290","1401:120:4","OTB","VL1824"
"247065440","1401:120:1","OTB","VL1824"
"247065730","1401:120:1","OTB","VL1824"
"247065730","1401:120:2","OTB","VL1824"
"247065730","1401:120:3","OTB","VL1824"
"247065730","1401:120:4","OTB","VL1824"
"247065720","1401:120:2","OTB","VL1824"
"247065720","1401:120:4","OTB","VL1824"
"247222320","1401:120:1","OTB","VL1218"
"247066180","1401:120:1","OTB","VL2440"
"247066180","1401:120:2","OTB","VL2440"
"247066180","1401:120:3","OTB","VL2440"
"247066180","1401:120:4","OTB","VL2440"
"247101230","1401:120:1","OTB","VL1824"
"247101230","1401:120:2","OTB","VL1824"
"247101230","1401:120:3","OTB","VL1824"
"247101230","1401:120:4","OTB","VL1824"
"247041470","1401:120:1","OTB","VL1824"
"247041470","1401:120:2","OTB","VL1824"
"247041470","1401:120:3","OTB","VL1824"
"247041470","1401:120:4","OTB","VL1824"
"247065440","1401:120:2","OTB","VL1824"
"247065440","1401:120:3","OTB","VL1824"
"247065440","1401:120:4","OTB","VL1824"
"247068110","1401:120:1","OTB","VL1824"
"247220290","1401:120:1","OTB","VL1218"
"247300170","1401:120:1","OTB","VL1824"
"247300170","1401:120:2","OTB","VL1824"
"247300170","1401:120:3","OTB","VL1824"
"247300170","1401:120:4","OTB","VL1824"
"247147420","1401:120:1","OTB","VL1824"
"247147420","1401:120:2","OTB","VL1824"
"247066190","1401:120:2","OTB","VL1218"
"247222320","1401:120:2","OTB","VL1218"
"247065690","1401:120:2","OTB","VL1824"
"247303790","1401:120:2","OTB","VL1824"
"247066290","1401:120:2","OTB","VL1824"
"247042630","1401:120:2","OTB","VL1218"
"247068110","1401:120:2","OTB","VL1824"
"247068070","1401:120:2","OTB","VL1824"
"247096930","1401:120:2","OTB","VL1824"
"247066190","1401:120:3","OTB","VL1218"
"247044790","1401:120:3","OTB","VL1218"
"247044790","1401:120:4","OTB","VL1218"
"247044790","1401:130:1","OTB","VL1218"
