"vessel_name","MMSI","quarter","name_vreg","Gear","vlength","Place.of.registration.name","port","lon_port","lat_port"
"M/P SS. TRINITA","247094260",1,"SS. TRINITA'","OTB","VL2440","Civitavecchia","CIVITAVECCHIA",11.7891685,42.0920560000001
"MP NUOVA LUCIA","247892860",2,"NUOVA LUCIA","OTB","VL1824","Roma","FIUMICINO",12.2207031250001,41.7708740230001
"BACICIN V","247049280",2,"BACICIN V","OTB","VL1824","Savona","SAVONA",8.49652823600007,44.314199735
"P.D`ERCOLE","247204460",1,"P. D'ERCOLE","OTB","VL1824","Savona","SAVONA",8.49652823600007,44.314199735
"ANGELA MADRE","247068110",2,"ANGELA MADRE","OTB","VL1824","Porto Ercole","PORTO ERCOLE",11.2047666829999,42.3896836450002
"FRECCIA","247068070",3,"FRECCIA","OTB","VL1824","Porto Ercole","PORTO ERCOLE",11.2047666829999,42.3896836450002
"FRIDA","247065690",1,"FRIDA","OTB","VL1824","Porto Santo Stefano","PORTO SANTO STEFANO",11.125305176,42.436096191
"MARETTO","247066290",2,"MARETTO","OTB","VL1824","Porto Ercole","PORTO ERCOLE",11.2047666829999,42.3896836450002
"MP LEDO","247222320",3,"LEDO","OTB","VL1218","Porto Ercole","PORTO ERCOLE",11.2047666829999,42.3896836450002
"NETTUNO II","247065720",2,"NETTUNO II","OTB","VL1824","Porto Santo Stefano","PORTO SANTO STEFANO",11.125305176,42.436096191
"PRIMO","247042630",3,"PRIMO","OTB","VL1218","Porto Ercole","PORTO ERCOLE",11.2047666829999,42.3896836450002
"LUNA ROSSA 1","247067010",2,"LUNA ROSSA I","OTB","VL1824","Anzio","ANZIO",12.6333007810001,41.447875977
"N.PESCE VOLANTE","247091090",3,"NUOVO PESCE VOLANTE","OTB","VL1824","Anzio","ANZIO",12.6333007810001,41.447875977
"PAOLA MADRE","247090910",2,"PAOLA MADRE","OTB","VL1824","Anzio","ANZIO",12.6333007810001,41.447875977
"M/P SS. TRINITA","247094260",1,"SS. TRINITA'","OTB","VL2440","Civitavecchia","CIVITAVECCHIA",11.7891685,42.0920560000001
"SGIUSEPPE","247045180",2,"SAN GIUSEPPE","OTB","VL1218","Sestri Levante","CHIAVARI",9.34481796800009,44.3062986360001
"JAZZ","247200190",4,"JAZZ","OTB","VL1218","Sestri Levante","CHIAVARI",9.34481796800009,44.3062986360001
"ANASTASIA","247066860",2,"ANASTASIA","OTB","VL1824","Livorno","LIVORNO",10.3030760000001,43.5636405
"LUNA ROSSA 1","247067010",2,"LUNA ROSSA I","OTB","VL1824","Anzio","ANZIO",12.6333007810001,41.447875977
"MISS MARY","247066930",3,"MISS MARY","OTB","VL1218","Livorno","LIVORNO",10.3030760000001,43.5636405
