"id","year","vssl_ln","ger_typ","GVL_disagg","Other_income_disagg","Repair_maintenance_costs_disagg","Other_variable_costs_disagg","Other_non_variable_costs_disagg","Personnel_costs_disagg","Value_of_unpaid_labour_disagg","day"
"1401:111:4",2021,"VL1824","OTB",13501328.5001599,40491.4398924184,625893.425580432,987603.28746311,457014.550413971,3299950.46957367,217002.616235371,2949
"1401:111:4",2021,"VL2440","OTB",5289241.32375968,159173.685473395,251068.431049213,343195.114291781,220710.766979765,1292400.77289533,29234.6461304022,281
"1401:112:1",2021,"VL1218","OTB",87036.7750284652,3691.21900894621,5922.5425142326,6301.3043081213,3642.86010224236,20200.9836946671,1729.46016033461,7
"1401:112:1",2021,"VL1824","OTB",5411519.25642219,16229.5293159846,250866.74433234,395845.06130261,183177.754692884,1322665.80367449,86977.6508613797,1182
"1401:112:1",2021,"VL2440","OTB",4442209.79504372,133683.237621784,210861.742802898,288235.042608044,185365.62636023,1085432.67759181,24552.9412340744,236
"1401:112:2",2021,"VL1824","OTB",6785001.30119939,20348.699193138,314538.506853238,496313.350973323,229669.570604783,1658367.78430254,109053.196765283,1482
"1401:112:2",2021,"VL2440","OTB",6719783.46114664,202224.219622783,318973.060087434,436016.568690982,280404.782248314,1641946.88940794,37141.5255108668,357
"1401:112:3",2021,"VL1218","OTB",5160037.37668758,218836.555530382,351122.16334379,373577.32683862,215969.563204369,1197629.74761241,102532.280934123,415
"1401:112:3",2021,"VL1824","OTB",18368033.2121538,55087.0318237988,851503.704112815,1343595.92719634,621750.551461801,4489454.48759904,295223.633888202,4012
"1401:112:3",2021,"VL2440","OTB",5665699.78096677,170502.773407444,268938.070269798,367621.812817887,236419.718366225,1384386.59303023,31315.4038621034,301
"1401:112:4",2021,"VL1824","OTB",764571.671592644,2293.00456494875,35443.9478033001,55927.347916697,25880.4441909573,186874.102549611,12288.7205531729,167
"1401:112:4",2021,"VL2440","OTB",131760.460022483,3965.18077691731,6254.3737272046,8549.3444841369,5498.13298526105,32195.0370472146,728.265206095428,7
"1401:120:1",2021,"VL1218","OTB",1429889.87546764,60641.4551469734,97298.9127338213,103521.427919136,59846.9873939816,331873.303555246,28412.5597769258,115
"1401:120:1",2021,"VL1824","OTB",2188414.72467835,6563.21067093116,101450.341616632,160079.474875336,74076.9600196264,534885.155800683,35173.7031402195,478
"1401:120:1",2021,"VL2440","OTB",3952813.80067449,118955.423307519,187631.211816138,256480.334524107,164943.989557832,965851.111416438,21847.9561828629,210
"1401:120:2",2021,"VL1218","OTB",4538346.12648426,192470.705466481,308818.288242129,328568.010352039,189949.133902637,1053337.00693621,90178.9940745904,365
"1401:120:2",2021,"VL1824","OTB",8858959.18881297,26568.6457076397,410682.868259795,648020.468376099,299872.212631751,2165277.77505088,142387.271080177,1935
"1401:120:2",2021,"VL2440","OTB",5778637.3181289,173901.499787659,274298.962035973,374949.822375718,241132.403782163,1411982.3390707,31939.6311816138,307
"1401:120:3",2021,"VL1218","OTB",6975375.82728128,295824.837716975,474649.478640641,505004.530979435,291949.216765424,1618964.55038689,138603.87856396,561
"1401:120:3",2021,"VL1824","OTB",1712274.28248891,5135.23178018463,79377.4639427201,125250.467789489,57959.7971701679,418508.469182961,27520.8472268663,374
"1401:120:3",2021,"VL2440","OTB",1204667.0630627,36253.0813889583,57182.8455058706,78165.4352835374,50268.6444366725,294354.624431676,6658.42474144392,64
"1401:120:4",2021,"VL1218","OTB",10705523.3285012,454019.938100383,728472.72925061,775060.42989892,448071.79257581,2484720.99444406,212723.599721157,861
"1401:120:4",2021,"VL1824","OTB",9875335.9019481,29616.8314167333,457799.97252526,722367.002732427,334276.156406557,2413697.24071564,158723.175049066,2157
"1401:120:4",2021,"VL2440","OTB",4630439.02364726,139347.781588808,219796.56241319,300448.391871097,193220.10205346,1131425.58765926,25593.3200999251,246
"1401:121:1",2021,"VL1218","OTB",5607655.07683397,237819.967576391,381580.953416986,405984.034708958,234704.272301615,1301520.52089927,111426.647472987,451
"1401:121:1",2021,"VL1824","OTB",13565424.3289162,40683.6678200189,628864.774498074,992291.807647743,459184.16848986,3315616.56200298,218032.808377553,2963
"1401:121:1",2021,"VL2440","OTB",6851543.92116912,206189.4003997,325227.433814639,444565.913175119,285902.915233575,1674141.92645516,37869.7907169623,364
"1401:121:2",2021,"VL1218","OTB",174073.55005693,7382.43801789241,11845.0850284652,12602.6086162426,7285.72020448472,40401.9673893343,3458.92032066922,14
"1401:121:2",2021,"VL1824","OTB",10104249.5760776,30303.3597295922,468411.93294541,739111.717677546,342024.792391873,2469647.57082031,162402.432699717,2207
"1401:121:2",2021,"VL2440","OTB",8075033.90709218,243008.936185361,383303.761281539,523952.683384961,336957.00723957,1973095.84189358,44632.2533449913,429
"1401:121:3",2021,"VL1218","OTB",2275389.97574416,96499.0112338794,154832.182872081,164734.098340885,95234.771244336,528111.430874869,45213.0299058905,183
"1401:121:3",2021,"VL1824","OTB",4088398.21995348,12261.3956676601,189529.613103874,299060.608919823,138390.638697754,999272.895669477,65711.5416406193,893
"1401:121:3",2021,"VL2440","OTB",1072906.60304022,32287.900612041,50928.471778666,69616.0907994005,44770.5114514114,262159.587384462,5930.15953534849,57
"1401:130:1",2021,"VL1218","OTB",5769294.80188684,244675.088593006,392579.960943418,417686.456995469,241469.583920065,1339036.63347508,114638.502056466,464
"1401:130:1",2021,"VL1824","OTB",1712274.28248891,5135.23178018463,79377.4639427201,125250.467789489,57959.7971701679,418508.469182961,27520.8472268663,374
"1401:130:1",2021,"VL2440","OTB",75291.6914414189,2265.81758680989,3573.92784411691,4885.33970522108,3141.79027729203,18397.1640269798,416.151546340245,4
"1401:130:3",2021,"VL1218","OTB",2213220.85072383,93862.4262274893,150601.795361915,160233.166692227,92632.7283141629,513682.15680725,43977.7012199373,178
"1401:130:3",2021,"VL1824","OTB",6881145.04433379,20637.0410845388,318995.530229701,503346.131250273,232923.997718616,1681866.9229465,110598.484978556,1503
"1401:130:3",2021,"VL2440","OTB",1938761.05461654,58344.8028603547,92028.6419860105,125797.497409443,80901.0996402698,473726.973694729,10715.9023182613,103
