"cscode","year","vessel_length","gear_type","supra_region","GVL_disagg","Other_income_disagg","Repair_maintenance_costs_disagg","Other_variable_costs_disagg","Other_non_variable_costs_disagg","Personnel_costs_disagg","Value_of_unpaid_labour_disagg","totfishdays","Fuel_cost","m","q","loa","loaFC","yFC","EC","GVA","Gross_profit"
"1300:380:4",2021,"VL1218","OTB","MBS",13213.0498031496,3.83916010498688,978.312283464567,1308.03152887139,635.706791338583,4310.3057152231,1006.7512960105,8,0.49821880876196,1.47,12.811,15,34.861,278.888,138.947247138006,10155.891112442,4838.83410120845
"1300:380:4",2021,"VL1824","OTB","MBS",1258155.77328076,7326.50369930999,105661.020208502,141813.859482228,71594.4724750035,443725.835466688,71162.8697051463,608.5,0.49821880876196,1.47,12.811,21,43.681,26579.8885,13242.6003854957,933170.32442884,418281.619257005
"1300:380:4",2021,"VL2440","OTB","MBS",1220048.96577339,17571.2906443375,117438.553497905,101371.461961721,73254.5931144394,537389.52745034,37374.3619044734,430.5,0.49821880876196,1.47,12.811,32,59.851,25765.8555,12837.0338339428,932718.614009715,357954.724654902
"1300:380:4",2022,"VL1218","OTB","MBS",0,0,0,0,0,0,0,4,NA,1.47,12.811,15,34.861,139.444,NA,NA,NA
"1300:380:4",2022,"VL1824","OTB","MBS",0,0,0,0,0,0,0,796.5,NA,1.47,12.811,21,43.681,34791.9165,NA,NA,NA
"1300:380:4",2022,"VL2440","OTB","MBS",0,0,0,0,0,0,0,501.5,NA,1.47,12.811,32,59.851,30015.2765,NA,NA,NA
"1300:390:1",2017,"VL1218","OTB","MBS",317895.306716713,0,38543.1855006841,28976.0286721939,17286.5291849176,86706.9256955344,27724.7836057298,235,0.423215748104041,1.47,12.811,15,34.861,8192.335,3467.12518574392,229622.438173174,115190.728871909
"1300:390:1",2017,"VL1824","OTB","MBS",4041359.44266707,6209.90388839605,374242.719695794,436330.320151179,185575.184426448,1398732.21710511,138878.563739331,1907,0.423215748104041,1.47,12.811,21,43.681,83299.667,35253.7308862225,3016167.39139582,1478556.61055138
"1300:390:1",2017,"VL2440","OTB","MBS",629160.803102957,5197.49115313545,50770.346890103,45501.6206655508,44669.498615993,243721.353212868,10937.6163422403,298,0.423215748104041,1.47,12.811,32,59.851,17835.598,7548.30595045294,485868.522133993,231209.552578885
"1300:390:1",2018,"VL1218","OTB","MBS",212785.346842879,24.7201049837706,12101.8355203543,22761.0173451447,10173.20140401,67422.7803387882,18196.7946417704,139.5,0.502828358672181,1.47,12.811,15,34.861,4863.1095,2445.30936792809,165328.703310426,79709.1283298675
"1300:390:1",2018,"VL1824","OTB","MBS",3281505.69536164,22416.3686657501,269297.551267698,328360.163498322,195553.085725201,1063081.50670875,120897.962985467,1491.1,0.502828358672181,1.47,12.811,21,43.681,65132.7391,32750.5882974764,2477960.67523869,1293981.20554447
"1300:390:1",2018,"VL2440","OTB","MBS",511681.823514625,1417.60068312902,50129.9368659941,30108.9766228225,34126.3803334018,202848.233061177,9413.18129088705,211.7,0.502828358672181,1.47,12.811,32,59.851,12670.4567,6371.06494608794,392363.065429447,180101.651077384
"1300:390:1",2019,"VL1218","OTB","MBS",112233.075983471,99.6892779729219,9797.67423745581,10726.6747143238,3395.57484826927,36104.3930403948,7782.66480736311,90.5,0.500663831533424,1.47,12.811,15,34.861,3154.9205,1579.55458571335,86833.2868756815,42946.2290279235
"1300:390:1",2019,"VL1824","OTB","MBS",1531914.65472596,24290.2675016916,148261.726095444,136513.929608829,86889.209779009,521429.780521774,71765.4107974058,791.5,0.500663831533424,1.47,12.811,21,43.681,34573.5115,17309.7067371549,1167230.35000722,574035.158688039
"1300:390:1",2019,"VL2440","OTB","MBS",333140.746254194,9376.50582305997,23159.2129660235,38592.2576665575,16292.454530701,128822.996392909,11298.4466961467,149.5,0.500663831533424,1.47,12.811,32,59.851,8947.7245,4479.80203167549,259993.524882296,119872.081793241
