"year","gear","species","yearly_kg","yearly_value","price"
"2015","OTB","MUT",2440.87820512821,12904.2540384615,5.2867259051886
"2015","OTB","MUX",1336.89010989011,9064.40456043956,6.78021663365034
"2015","OTB","MZZ",2377.54816513761,7033.84688073394,2.95844558855733
"2015","OTB","OCC",1870.76129032258,9586.38590322581,5.12432342534349
"2015","OTB","PAC",2161.31923076923,6832.21796153846,3.16113319322422
"2015","OTB","SBG",1150.66666666667,10179.9949333333,8.84704078794901
"2015","OTB","SQM",921.794223826715,2849.71144404332,3.09148329462632
"2015","PS","AMB",2046.16666666667,19648.22,9.60245336808667
"2015","PS","ANE",49343.3079584775,73535.2316435986,1.49027770301656
"2015","PS","BFT",15790,157899.695,9.9999806839772
"2015","PS","BON",1693.9512195122,6031.04951219512,3.5603442665438
"2015","PS","DOL",22,133.96,6.08909090909091
"2015","PS","FRI",1839.1,5050.396,2.74612364743625
"2015","PS","HMM",873.103448275862,654.311379310345,0.749408767772512
"2015","PS","HMY",190.75,549.2725,2.87954128440367
"2015","PS","HOM",941.053571428571,975.971964285714,1.03710563767813
"2015","PS","LTA",3641.82857142857,7253.92285714286,1.99183534174355
"2015","PS","MAC",2151.95384615385,3727.36969230769,1.73208626150118
"2015","PS","MAZ",728.083333333333,892.4525,1.22575598031361
"2015","PS","PIL",23423.1973684211,45192.3266885965,1.9293833364323
"2015","PS","SAA",14088.7130434783,7422.516,0.526841307441911
"2015","PS","SLM",336.75,215.669166666667,0.64044295966345
"2016","OTB","ARA",1172.15844155844,38898.7355324675,33.1855610584093
"2016","OTB","CTC",1178.68774703557,8933.81537549407,7.57945893470329
"2016","OTB","DPS",977.132791327913,14984.8100271003,15.3354898741409
"2016","OTB","EOI",1641.72533333333,6189.69429333333,3.77023742501791
