"cscode","year","vessel_length","gear_type","supra_region","GVL_disagg","Other_income_disagg","Repair_maintenance_costs_disagg","Other_variable_costs_disagg","Other_non_variable_costs_disagg","Personnel_costs_disagg","Value_of_unpaid_labour_disagg","totfishdays","Energy_consumption","Energy_Costs","GVA","Gross_profit"
"1400:103:3",2023,"VL1824","OTB","MBS",3172.80312385812,88.672605997606,297.599159264159,330.708115038115,197.487838152838,1177.82646002646,99.2849231399231,1,1117.49809839904,530.828578951828,1904.85203844879,627.740655282406
"1400:103:3",2023,"VL2440","OTB","MBS",7473.95283319415,255.194154217315,848.420172899075,1564.59279298506,769.141191426185,2694.4068191519,63.0951866629551,0.5,1514.55453125348,722.191859985205,3824.80097011594,1067.29896430108
"1400:103:3",2024,"VL1218","OTB","MBS",0,0,0,0,0,0,0,2,1221.53713410046,467.785436015878,-467.785436015878,-467.785436015878
"1400:103:3",2024,"VL1824","OTB","MBS",0,0,0,0,0,0,0,3,3352.49429519711,1592.48573685548,-1592.48573685548,-1592.48573685548
"1400:103:4",2018,"VL1218","OTB","MBS",4552.08029141969,1.0034224345827,280.007080393969,514.156680339877,192.0132863035,1474.98694133291,272.50960355203,2,1221.53713410046,467.785436015878,3099.12123080104,1351.6246859161
"1400:103:4",2018,"VL1824","OTB","MBS",1409.48572382311,10.5128508995593,118.433333579687,137.050939838047,73.7563884351881,441.585236536173,50.2788999583663,0.5,558.749049199518,265.414289475914,825.343623393832,333.479486899292
"1400:103:4",2019,"VL1824","OTB","MBS",1346.09326554581,15.8267898586803,127.772793075715,131.735890620811,70.3546500197873,431.445330831195,47.4725648194248,0.5,558.749049199518,265.414289475914,766.642432212264,287.724536561644
"1400:103:4",2019,"VL2440","OTB","MBS",5574.62186102716,71.8185733001831,491.096745770618,1022.57947168088,572.370852873597,2001.05586158297,38.5884326599076,0.5,1514.55453125348,722.191859985205,2838.20150401704,798.557209774159
"1400:103:4",2020,"VL2440","OTB","MBS",11100.6557134352,116.007979684627,1283.27566422735,2229.74921051384,1084.01505792726,4087.01257645925,23.4771325609698,1,3029.10906250695,1444.38371997041,5175.240040481,1064.75033146078
"1400:103:4",2022,"VL2440","OTB","MBS",44180.8616055732,406.583129622236,4654.48903893256,8377.12390898852,2096.07876438443,14876.8388395917,204.541068395678,3,9087.32718752086,4333.15115991123,25126.6018629787,10045.2219549914
"1400:103:4",2023,"VL1824","OTB","MBS",3172.80312385812,88.672605997606,297.599159264159,330.708115038115,197.487838152838,1177.82646002646,99.2849231399231,1,1117.49809839904,530.828578951828,1904.85203844879,627.740655282406
"1400:103:4",2024,"VL1218","OTB","MBS",0,0,0,0,0,0,0,1,610.768567050232,233.892718007939,-233.892718007939,-233.892718007939
"1400:103:4",2024,"VL1824","OTB","MBS",0,0,0,0,0,0,0,1,1117.49809839904,530.828578951828,-530.828578951828,-530.828578951828
"1400:104:3",2018,"VL1824","OTB","MBS",2818.97144764622,21.0257017991185,236.866667159373,274.101879676095,147.512776870376,883.170473072346,100.557799916733,1,1117.49809839904,530.828578951828,1650.68724678766,666.958973798585
"1400:104:3",2019,"VL1824","OTB","MBS",1346.09326554581,15.8267898586803,127.772793075715,131.735890620811,70.3546500197873,431.445330831195,47.4725648194248,0.5,558.749049199518,265.414289475914,766.642432212264,287.724536561644
"1400:104:3",2023,"VL1218","OTB","MBS",3237.11407982533,0.653085715682361,287.596832405921,390.81480165875,132.886166217218,1142.70823916639,171.007114866021,1,610.768567050232,233.892718007939,2192.57664725118,878.86129321877
"1400:104:3",2024,"VL1218","OTB","MBS",0,0,0,0,0,0,0,1,610.768567050232,233.892718007939,-233.892718007939,-233.892718007939
"1400:104:3",2024,"VL1824","OTB","MBS",0,0,0,0,0,0,0,1,1117.49809839904,530.828578951828,-530.828578951828,-530.828578951828
"1400:104:4",2019,"VL1824","OTB","MBS",1346.09326554581,15.8267898586803,127.772793075715,131.735890620811,70.3546500197873,431.445330831195,47.4725648194248,0.5,558.749049199518,265.414289475914,766.642432212264,287.724536561644
"1400:104:4",2020,"VL1824","OTB","MBS",1398.86954522424,18.844633344745,167.921564532694,130.876556658679,79.2298065046217,499.684688805204,54.9411522081479,0.5,558.749049199518,265.414289475914,774.271961397075,219.646120383724
"1400:104:4",2021,"VL1218","OTB","MBS",5996.34455911298,0.959664086077943,402.213513974544,533.775780409395,268.44670745309,2092.00826630363,310.188456606745,2,1221.53713410046,467.785436015878,4325.08278534615,1922.88606243577
"1400:104:4",2022,"VL1218","OTB","MBS",9554.27941264417,0.263588210166595,959.872716787698,593.641134130713,337.870410081162,3186.21668731311,369.505151644596,3,1832.3057011507,701.678154023818,6961.48058583095,3405.75874687323
"1400:104:4",2022,"VL1824","OTB","MBS",1583.20545061081,13.1609025510732,136.868096370592,123.135807199728,56.5401045836595,531.444158825354,46.4483281386177,0.5,558.749049199518,265.414289475914,1014.40805553199,436.515568568018
"1400:104:4",2024,"VL1218","OTB","MBS",0,0,0,0,0,0,0,1,610.768567050232,233.892718007939,-233.892718007939,-233.892718007939
"1400:110:2",2014,"VL1218","OTB","MBS",42202.0291141942,0,3071.59799359659,4416.87986125934,2244.94083244397,15450.0168196371,1785.21641408751,22,13436.9084751051,5145.63979617466,27322.9706307197,10087.737396995
"1400:110:2",2014,"VL1824","OTB","MBS",28115.9619533968,78.4229996718083,2565.66118280276,2706.28820216606,1643.95599343617,8347.23536330817,1322.38878109616,12,13409.9771807884,6369.94294742193,14908.5366272417,5238.91248283734
"1400:110:2",2015,"VL1218","OTB","MBS",15415.9665742942,3.07833729491565,1478.38749608673,1175.18016812569,535.077650878312,5789.29784219375,434.49600556554,8,4886.14853640186,1871.14174406351,10359.2578524348,4135.46400467554
"1400:110:2",2015,"VL1824","OTB","MBS",21481.3730864369,168.718568093025,2047.77789490718,2171.99157824167,971.147090644289,7001.23478512148,767.031581015789,10,11174.9809839904,5308.28578951828,11150.8893012185,3382.62293508121
"1400:110:2",2016,"VL1218","OTB","MBS",24380.7646743748,268.933653132563,1983.39189244421,2610.93143318096,1438.47651089002,7666.24928851842,1283.1285958591,8,4886.14853640186,1871.14174406351,16745.7567469287,7796.37886255117
"1400:110:2",2016,"VL1824","OTB","MBS",3042.40221556303,30.0408375968426,297.945990839546,335.498326268089,159.074537835599,996.239008185938,89.0604302489889,1,1117.49809839904,530.828578951828,1749.09561926481,663.796180829881
"1400:110:2",2017,"VL1218","OTB","MBS",12269.3830519838,1.20669840748646,1189.95972554041,1114.77039825973,583.05520815958,3641.77467897444,858.661759464784,7,4275.37996935163,1637.24902605557,7745.55539237599,3245.11895393677
"1400:110:2",2017,"VL1824","OTB","MBS",8252.93594876174,36.7733146078214,754.667384985584,1029.50682302063,370.50495173357,2764.36817122791,247.309503866341,3,3352.49429519711,1592.48573685548,4542.54436677429,1530.86669168004
"1400:110:2",2018,"VL1218","OTB","MBS",29588.521894228,6.52224582478758,1820.0460225608,3342.0184222092,1248.08636097275,9587.41511866393,1771.31242308819,13,7939.99137165302,3040.60533410321,20144.2880002068,8785.56045845466
"1400:110:2",2018,"VL1824","OTB","MBS",7047.42861911554,52.5642544977964,592.166667898433,685.254699190236,368.781942175941,2207.92618268087,251.394499791831,2.5,2793.74524599759,1327.07144737957,4126.71811696916,1667.39743449646
"1400:110:2",2018,"VL2440","OTB","MBS",11315.5475703575,29.4301938435371,1236.01454119786,1977.39437189024,1291.56351235105,4169.05540523368,45.7540450053275,1,3029.10906250695,1444.38371997041,5395.62161879145,1180.81216855245
"1400:110:2",2019,"VL1218","OTB","MBS",22846.9256959303,28.6715606399947,2313.61000339004,2004.83538727013,623.610754755778,7920.17882060031,902.885837978426,10.5,6413.06995402744,2455.87353908336,15477.667572071,6654.60291349223
"1400:110:2",2019,"VL1824","OTB","MBS",1346.09326554581,15.8267898586803,127.772793075715,131.735890620811,70.3546500197873,431.445330831195,47.4725648194248,0.5,558.749049199518,265.414289475914,766.642432212264,287.724536561644
"1400:110:2",2019,"VL2440","OTB","MBS",16723.8655830815,215.455719900549,1473.29023731185,3067.73841504265,1717.11255862079,6003.16758474892,115.765297979723,1.5,4543.66359376043,2166.57557995561,8514.60451205111,2395.67162932247
"1400:110:2",2020,"VL1218","OTB","MBS",12860.7789934282,8.03538450804367,978.289752543341,1264.86595112,442.465206889448,4925.67606634284,636.311904034128,4.5,2748.45855172605,1052.51723103573,9130.6762363477,3568.68826597074
"1400:110:2",2020,"VL1824","OTB","MBS",5595.47818089695,75.3785333789798,671.686258130777,523.506226634714,316.919226018487,1998.73875522081,219.764608832592,2,2234.99619679807,1061.65715790366,3097.0878455883,878.584481534894
"1400:110:2",2021,"VL1218","OTB","MBS",11992.689118226,1.91932817215589,804.427027949088,1067.55156081879,536.89341490618,4184.01653260727,620.376913213489,4,2443.07426820093,935.570872031757,8650.1655706923,3845.77212487154
"1400:110:2",2021,"VL1824","OTB","MBS",2711.03231296234,13.2234177852726,233.187042619449,303.42137846543,140.953114980326,968.029904134345,144.942521967397,1,1117.49809839904,530.828578951828,1515.86561573058,402.893189628835
"1400:110:2",2022,"VL1218","OTB","MBS",6369.51960842945,0.175725473444397,639.915144525132,395.760756087142,225.246940054108,2124.14445820874,246.336767763064,2,1221.53713410046,467.785436015878,4640.98705722063,2270.50583124882
"1400:110:2",2024,"VL1824","OTB","MBS",0,0,0,0,0,0,0,1,1117.49809839904,530.828578951828,-530.828578951828,-530.828578951828
"1400:111:1",2013,"VL0612","OTB","MBS",396077.569095725,0,43519.2393189557,52162.0517290957,14610.0681649641,129342.778539538,32768.1359061672,536,101879.158132384,50535.4666860037,235250.743196705,73139.8287509996
"1400:111:1",2013,"VL1218","OTB","MBS",5339107.20033607,10565.2877381314,539498.059949388,373918.963388501,431460.728735702,1940380.62188582,257842.138713939,3259,1990494.76001671,762256.367987874,3242538.36801273,1044315.60741298
"1400:111:1",2013,"VL1824","OTB","MBS",7745612.18420779,24249.8517782711,565438.718525627,890672.556728736,167215.367847884,1293866.46212466,450049.917161546,3863,4316895.15411548,2050590.80049091,4095944.5923929,2352028.21310669
"1400:111:1",2013,"VL2440","OTB","MBS",23050616.0696788,60398.6190517692,2060759.13689036,5256830.20569069,2112498.26259282,6478217.50079484,160311.391524752,1741,5273678.87782461,2514672.05646848,11166255.0270883,4527726.13476866
"1400:111:1",2014,"VL0612","OTB","MBS",247185.348376768,0,54383.4149441549,3071.08221891288,2743.34407297096,42042.6015413254,42042.6015413254,422,80210.8297236307,39787.2517565178,147200.255384212,63115.0523015611
"1400:111:1",2014,"VL1218","OTB","MBS",4189510.5266091,0,304925.90990977,438475.7098632,222861.39900262,1533765.30609489,177223.302198506,2184,1333918.55043771,510821.696129339,2712425.81170417,1001437.20341078
"1400:111:1",2014,"VL1824","OTB","MBS",3781596.88273187,10547.8934558582,345081.429086971,363995.763191336,221112.081117164,1122703.15636495,177861.291057433,1614,1803641.93081604,856757.32642825,2005198.176364,704633.728941622
"1400:111:1",2014,"VL2440","OTB","MBS",9090425.26568755,71274.3168729531,479389.793275488,967206.119078729,661959.677963506,1636827.05919102,22096.5596146485,514,1556962.05812857,742413.232064791,6310730.76017799,4651807.14137232
"1400:111:1",2015,"VL0612","OTB","MBS",202389.204049332,0,9614.88376156218,26158.0687769784,11780.3731140802,74945.9498047276,0,204,38774.9034682954,19233.6477685537,135602.230628158,60656.2808234299
"1400:111:1",2015,"VL1218","OTB","MBS",3379950.671414,674.925451910256,324136.458517016,257658.251861557,117315.77495507,1269303.55190098,95263.2492202446,1754,1071288.06660611,410247.827385925,2271267.28414634,906700.483025113
"1400:111:1",2015,"VL1824","OTB","MBS",2691616.04773054,21140.4365820561,256586.57023187,272150.544753682,121684.730457729,877254.718575722,96109.0571012784,1253,1400225.11729399,665128.20942664,1397206.42944268,423842.653765676
"1400:111:1",2015,"VL2440","OTB","MBS",4914779.63391496,114298.182867942,440396.329409224,936151.834885039,439959.874571878,1306066.2032018,43112.5522663667,372,1126828.57125259,537310.743828992,2675259.03408777,1326080.2786196
"1400:111:1",2016,"VL0612","OTB","MBS",137840.080240254,0,9035.17286038078,16585.2428875793,3077.18565276519,44908.3156165005,15363.3705621034,281,53410.5287970147,26493.4069753116,82649.0718642169,22377.3856856131
"1400:111:1",2016,"VL1218","OTB","MBS",7088707.32907448,78192.4596482926,576671.192728153,759128.314197365,418237.045541275,2228961.98063673,373069.639246034,2326,1420647.68695884,544034.462086467,4868828.77416952,2266797.15428675
"1400:111:1",2016,"VL1824","OTB","MBS",3218861.54406568,31783.2061774594,315226.85830824,354957.229191639,168300.861030064,1054020.87066072,94225.9352034303,1058,1182312.98810618,561616.636531034,1850543.16518217,702296.359318014
"1400:111:1",2016,"VL2440","OTB","MBS",2565394.19865367,19184.3837827298,247918.355630919,532465.255095636,173796.353249304,674222.683149025,14772.7694814299,229,693665.975314092,330763.871873224,1299634.74658732,610639.29395686
"1400:111:1",2017,"VL0612","OTB","MBS",221438.640855615,0,30074.954973262,20946.3216042781,7101.29935828877,70955.8339037433,23186.7777934046,273,51889.9443472776,25739.1462785056,137576.91864128,43434.3069441325
"1400:111:1",2017,"VL1218","OTB","MBS",3714117.52673624,365.284846494828,360217.808345734,337456.924844623,176499.140870021,1102417.22067812,259929.181186554,2119,1294218.59357944,495618.669458823,2344690.26806353,982343.866198858
