"vessel_name","MMSI","quarter","Country","CFR","UVI","Event","Event.Start.Date","Event.End.Date","Registration.Number","External.marking","Place.of.registration","Place.of.registration.name","IRCS","IRCS.indicator","Licence.indicator","VMS.indicator","ERS.indicator","ERS.Exempt.indicator","AIS.indicator","Vessel.Type","Gear","Subsidiary.fishing.gear.1","Subsidiary.fishing.gear.2","Subsidiary.fishing.gear.3","Subsidiary.fishing.gear.4","Subsidiary.fishing.gear.5","LOA","LBP","Tonnage.GT","Other.tonnage","GTs","Power.of.main.engine","Power.of.auxiliary.engine","Hull.material","Date.of.entry.into.service","Segment","Country.of.importation.exportation","Type.of.export","Public.aid","Year.of.construction","vlength","port","X","Y"
"M/P SS. TRINITA","247094260",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CIVITAVECCHIA",11.7891685,42.0920560000001
"MARIA ROSA","247111950",1,"ITA","ITA000026702",NA,"MOD","2024-06-26","2100-12-31","00CV02311","00CV02311","00071","Civitavecchia","IVQY","Y","Y","Y","Y","","Y","FX","OTB","NO","","","","",19.93,18.55,104,59.15,0,313.3,"0.00","2","2005-06-13","MFL","","","","2005-01-01","VL1824","CIVITAVECCHIA",11.7891685,42.0920560000001
"OSCAR","247094340",2,"ITA","ITA000018204",NA,"MOD","2024-07-01","2100-12-31","00CV02159","00CV02159","00071","Civitavecchia","IQSU","Y","Y","Y","Y","","Y","FX","OTB","NO","","","","",19.95,17.01,50,33.94,0,350,"0.00","1","1992-06-15","MFL","","","","1992-01-01","VL1824","CIVITAVECCHIA",11.7891685,42.0920560000001
"S. FERMINA","247094310",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CIVITAVECCHIA",11.7891685,42.0920560000001
"SS ANNUNZIATA","247099790",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CIVITAVECCHIA",11.7891685,42.0920560000001
"TOMMASO DE SIMONE","247110830",2,"ITA","ITA000015811",NA,"MOD","2018-03-06","2100-12-31","00CV02310","00CV02310","00071","Civitavecchia","IVGI","Y","Y","Y","Y","","Y","FX","OTB","LLS","","","","",22.85,19,63,57.58,0,206,"0.00","1","1989-12-09","MFL","","","","1988-01-01","VL1824","CIVITAVECCHIA",11.7891685,42.0920560000001
"VINCENZO PADRE","247094330",3,"ITA","ITA000010762",NA,"MOD","2023-07-21","2100-12-31","00CV02148","00CV02148","00071","Civitavecchia","INYD","Y","Y","Y","Y","","Y","FX","OTB","NO","","","","",18.7,15.35,50,39.52,0,345,"0.00","1","1984-03-17","MFL","","","","1983-01-01","VL1824","CIVITAVECCHIA",11.7891685,42.0920560000001
"AGOSTINO IMPERATO","247092790",2,"ITA","ITA000025657",NA,"MOD","2013-05-31","2100-12-31","00RO08214","00RO08214","00072","Roma","IZNI","Y","Y","Y","Y","","Y","FX","OTB","NO","","","","",21,18.96,90,35.43,0,367.65,"0.00","2","2002-08-06","MFL","","","","2002-01-01","VL1824","FIUMICINO",12.2207031250001,41.7708740230001
"ANTONIO FRANCESCA M.","247093030",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FIUMICINO",12.2207031250001,41.7708740230001
"BISMARK","247092770",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FIUMICINO",12.2207031250001,41.7708740230001
