"port","vessel_name","MMSI","quarter","lat","lon","name_vreg","Gear","vlength"
"ITA-206","MP NUOVA LUCIA","247892860","2",42.061387761415,11.8126176239045,"NUOVA LUCIA","OTB","VL1824"
"ITA-273","BACICIN V","247049280","2",44.3992996740959,8.68794462364634,"BACICIN V","OTB","VL1824"
"ITA-273","P.D`ERCOLE","247204460","1",44.3992996740959,8.68794462364634,"P. D'ERCOLE","OTB","VL1824"
"ITA-297","ANGELA MADRE","247068110","2",42.3720501130125,11.192584570431,"ANGELA MADRE","OTB","VL1824"
"ITA-297","FRECCIA","247068070","3",42.3720501130125,11.192584570431,"FRECCIA","OTB","VL1824"
"ITA-297","FRIDA","247065690","1",42.3720501130125,11.192584570431,"FRIDA","OTB","VL1824"
"ITA-297","MARETTO","247066290","2",42.3720501130125,11.192584570431,"MARETTO","OTB","VL1824"
"ITA-297","MP LEDO","247222320","3",42.3720501130125,11.192584570431,"LEDO","OTB","VL1218"
"ITA-297","NETTUNO II","247065720","2",42.3720501130125,11.192584570431,"NETTUNO II","OTB","VL1824"
"ITA-297","PRIMO","247042630","3",42.3720501130125,11.192584570431,"PRIMO","OTB","VL1218"
"ITA-338","LUNA ROSSA 1","247067010","2",41.561373549233,12.484200292491,"LUNA ROSSA I","OTB","VL1824"
"ITA-338","N.PESCE VOLANTE","247091090","3",41.561373549233,12.484200292491,"NUOVO PESCE VOLANTE","OTB","VL1824"
"ITA-338","PAOLA MADRE","247090910","2",41.561373549233,12.484200292491,"PAOLA MADRE","OTB","VL1824"
"ITA-368","M/P SS. TRINITA","247094260","1",42.1237890222318,11.75556116728,"SS. TRINITA'","OTB","VL2440"
"LA MADDALENA","SGIUSEPPE","247045180","2",41.2128239314392,9.40849051014393,"SAN GIUSEPPE","OTB","VL1218"
"LAVAGNA","JAZZ","247200190","4",44.3071611275445,9.33698935031076,"JAZZ","OTB","VL1218"
"LIVORNO","ANASTASIA","247066860","2",43.5694182135006,10.2986945491129,"ANASTASIA","OTB","VL1824"
"LIVORNO","LUNA ROSSA 1","247067010","2",43.5472424816845,10.2994130986306,"LUNA ROSSA I","OTB","VL1824"
"LIVORNO","MISS MARY","247066930","3",43.5715785590853,10.3005412852891,"MISS MARY","OTB","VL1218"
"LIVORNO","MORLE II","247081680","2",43.5694182135006,10.2986945491129,"MORLE' II","OTB","VL1218"
"MARCIANA MARINA","NUOVA MAREA","247220130","2",42.8088069315964,10.1970174333997,"NUOVA MAREA","OTB","VL2440"
"MARINA DI SALIVOLI","CESARINA","247220290","2",42.9307276189194,10.5072973764337,"CESARINA","OTB","VL1218"
"MARINA DI SALIVOLI","MONSSER","247044790","2",42.9307276189194,10.5072973764337,"MONSSER","OTB","VL1218"
"MARINA DI SALIVOLI","NUOVA MAREA","247220130","2",42.9307276189194,10.5072973764337,"NUOVA MAREA","OTB","VL2440"
"MENTON","F/V GRAZIA ROSA II","247048990","3",43.7802642873605,7.52072835483997,"GRAZIA ROSA II","OTB","VL1824"
"PIOMBINO","CESARINA","247220290","2",42.9216049024911,10.5571806601608,"CESARINA","OTB","VL1218"
"PIOMBINO","MONSSER","247044790","2",42.9240898243637,10.5578415973341,"MONSSER","OTB","VL1218"
"PIOMBINO","NUOVA MAREA","247220130","2",42.9303095123106,10.5465741391089,"NUOVA MAREA","OTB","VL2440"
"PORTO AZZURRO","NETTUNO II","247065720","2",42.7701816039627,10.4197362633593,"NETTUNO II","OTB","VL1824"
"PORTO AZZURRO","NUOVA MAREA","247220130","2",42.7701816039627,10.4197362633593,"NUOVA MAREA","OTB","VL2440"
"PORTO FERRAIO","FRANCESCO GIACALONE","247147190","4",42.811955406016,10.3348515545555,"FRANCESCO GIACALONE","OTB","VL2440"
"PORTO FERRAIO","LIBERA","247096930","4",42.8130861496699,10.3327515896564,"LIBERA","OTB","VL1824"
"PORTO FERRAIO","MICHELE GIACALONE","247149010","4",42.8142168933239,10.3306516247573,"MICHELE GIACALONE","OTB","VL2440"
"PORTO FERRAIO","NUOVA MAREA","247220130","2",42.8110538875927,10.3368200962349,"NUOVA MAREA","OTB","VL2440"
"PORTO FERRAIO","NUOVO GIACOMO PRIMO","247144430","4",42.8142168933239,10.3306516247573,"NUOVO GIACOMO I","OTB","VL1824"
"PORTO FERRAIO","SICULAPESCA","247146950","1",42.8142168933239,10.3306516247573,"SICULA PESCA","OTB","VL2440"
"PORTO FERRAIO","VALENTINO GIACALONE","247145030","2",42.8142168933239,10.3306516247573,"VALENTINO GIACALONE","OTB","VL2440"
"PORTO SANTO STEFANO","CERNIA","247303790","3",42.4415069723724,11.122292318463,"CERNIA","OTB","VL1824"
"PORTO SANTO STEFANO","FRIDA","247065690","1",42.4407625704335,11.1199386554583,"FRIDA","OTB","VL1824"
"PORTO SANTO STEFANO","FURORE","247101230","2",42.4413439033857,11.1209170159957,"FURORE","OTB","VL1824"
"PORTO SANTO STEFANO","GIANNI RIVERA","247066180","1",42.4415091177828,11.12056731091,"GIANNI RIVERA","OTB","VL2440"
"PORTO SANTO STEFANO","GIORGIA","247066190","2",42.441384544359,11.1203513124943,"GIORGIA","OTB","VL1218"
"PORTO SANTO STEFANO","GIUBILEO","247300170","4",42.4415640693576,11.1188896280981,"GIUBILEO","OTB","VL1824"
"PORTO SANTO STEFANO","ISABELLA","247065440","1",42.4415640693576,11.1188896280981,"ISABELLA","OTB","VL1824"
"PORTO SANTO STEFANO","LIBERA","247096930","4",42.4404107191991,11.1201311966812,"LIBERA","OTB","VL1824"
"PORTO SANTO STEFANO","MIRELLA","247065730","2",42.4415416305614,11.1201147481088,"MIRELLA","OTB","VL1824"
"PORTO SANTO STEFANO","NETTUNO II","247065720","2",42.4404107191991,11.1201311966812,"NETTUNO II","OTB","VL1824"
"PORTO SANTO STEFANO","ONDAMARINA","247041470","2",42.4415098813933,11.1196438994333,"ONDA MARINA","OTB","VL1824"
"PORTO SANTO STEFANO","OSCAR","247094340","2",42.4369506687233,11.1238559024303,"OSCAR","OTB","VL1824"
"PORTO SANTO STEFANO","SABRINA E GIADA","247147420","2",42.4407764702551,11.1207382738291,"SABRINA  E GIADA","OTB","VL1824"
"PORTO SANTO STEFANO","STELLA MARIS","247152290","3",42.4413439033857,11.1209170159957,"STELLA MARIS","OTB","VL1824"
"PORTOFINO","ARDITO","247044930","2",44.3084616629998,9.22621550250844,"ARDITO","OTB","VL1824"
"PORTOFINO","ARINA MADRE","247045120","3",44.3100444943404,9.22236960006283,"ARINA MADRE","OTB","VL1218"
"PORTOFINO","IRENE","247123990","3",44.3090506626157,9.21576231662993,"IRENE","OTB","VL1218"
"PORTOFINO","JAZZ","247200190","4",44.2979374114042,9.21573489725824,"JAZZ","OTB","VL1218"
"PORTOFINO","MONELLO","247044970","2",44.3078180363125,9.22432358379844,"MONELLO","OTB","VL1218"
"PORTOFINO","N.VITTORIO-FILIPPO","247044920","1",44.3070438528847,9.22232379780872,"NUOVO VITTORIO FILIPPO","OTB","VL1218"
"PORTOFINO","TERESA MADRE","247041670","2",44.3090689364071,9.22446741509017,"TERESA MADRE","OTB","VL1824"
"PORTOVENERE","NUOVO SPLENDORE II","247150210","3",44.0515781459958,9.8372502985959,"NUOVO SPLENDORE II","OTB","VL2440"
"PORTOVENERE","ONDAMARINA","247041470","2",44.0626102790954,9.84740264696764,"ONDA MARINA","OTB","VL1824"
"SAN LORENZO AL MARE","M/P MINA","247048870","3",43.8582877433308,7.96931702452831,"MINA","OTB","VL1824"
"SANREMO","F/V GRAZIA ROSA II","247048990","3",43.814428722456,7.79005286344092,"GRAZIA ROSA II","OTB","VL1824"
"SANREMO","F/V MARIA GRAZIA","247048880","2",43.814428722456,7.79005286344092,"MARIA GRAZIA","OTB","VL1824"
"SANREMO","F/V PATRIZIA","247042850","2",43.814428722456,7.79005286344092,"PATRIZIA","OTB","VL1218"
"SANREMO","M/P MINA","247048870","3",43.814428722456,7.79005286344092,"MINA","OTB","VL1824"
"SANTA MARINELLA","IMPERO ROMANO","247094320","4",42.0351410760321,11.8744507210639,"IMPERO ROMANO","OTB","VL1824"
"SANTA MARINELLA","MP NUOVA LUCIA","247892860","2",42.0350203857578,11.876874945071,"NUOVA LUCIA","OTB","VL1824"
"SANTO STEFANO","F/V MARIA GRAZIA","247048880","2",43.8364192416308,7.90805421178352,"MARIA GRAZIA","OTB","VL1824"
"SANTO STEFANO","M/P MINA","247048870","3",43.8370724305794,7.91036965301162,"MINA","OTB","VL1824"
"SAVONA","BACICIN V","247049280","2",44.2989368850423,8.50346815233461,"BACICIN V","OTB","VL1824"
"SAVONA","P.D`ERCOLE","247204460","1",44.2989368850423,8.50346815233461,"P. D'ERCOLE","OTB","VL1824"
"SESTRI LEVANTE","ANNA M","247103220","2",44.2691303888065,9.38340493099275,"CORSARO","OTB","VL1218"
"SESTRI LEVANTE","ARDITO","247044930","2",44.2691303888065,9.38340493099275,"ARDITO","OTB","VL1824"
"SESTRI LEVANTE","ILCORSARO","247103220","2",44.2714163135697,9.38485098555723,"CORSARO","OTB","VL1218"
"SESTRI LEVANTE","ILCORSARO","247103220","3",44.2714163135697,9.38485098555723,"CORSARO","OTB","VL1218"
"SESTRI LEVANTE","JAZZ","247200190","4",44.2714163135697,9.38485098555723,"JAZZ","OTB","VL1218"
"SESTRI LEVANTE","SGIUSEPPE","247045180","2",44.2714163135697,9.38485098555723,"SAN GIUSEPPE","OTB","VL1218"
"SESTRI LEVANTE","TERESA MADRE","247041670","2",44.2691303888065,9.38340493099275,"TERESA MADRE","OTB","VL1824"
"VARAZZE","BACICIN V","247049280","2",44.3505604372733,8.5684005599877,"BACICIN V","OTB","VL1824"
"VARAZZE","P.D`ERCOLE","247204460","1",44.3516878657204,8.56839533980923,"P. D'ERCOLE","OTB","VL1824"
"VIAREGGIO","ANASTASIA","247066860","2",43.8620892892973,10.2361112480486,"ANASTASIA","OTB","VL1824"
"VIAREGGIO","CARMELA FIGLIA","247063630","1",43.8591175667869,10.2382039206973,"CARMELA FIGLIA","OTB","VL1824"
"VIAREGGIO","MORLE II","247081680","2",43.8561458442765,10.2402965933461,"MORLE' II","OTB","VL1218"
