"Country","CFR","UVI","Event","Event.Start.Date","Event.End.Date","Registration.Number","External.marking","vessel_name","Place.of.registration","Place.of.registration.name","IRCS","IRCS.indicator","Licence.indicator","VMS.indicator","ERS.indicator","ERS.Exempt.indicator","AIS.indicator","MMSI","Vessel.Type","Gear","Subsidiary.fishing.gear.1","Subsidiary.fishing.gear.2","Subsidiary.fishing.gear.3","Subsidiary.fishing.gear.4","Subsidiary.fishing.gear.5","LOA","LBP","Tonnage.GT","Other.tonnage","GTs","Power.of.main.engine","Power.of.auxiliary.engine","Hull.material","Date.of.entry.into.service","Segment","Country.of.importation.exportation","Type.of.export","Public.aid","Year.of.construction","vlength"
"ITA","ITA000025679",NA,"MOD","2021-12-29","2100-12-31","05RA02267","05RA02267","DENISE I","00206","Goro","IMFX","Y","Y","Y","Y","","Y","247070590","FX","OTB","PTM","","","","",17.45,14.8,22,9.1,0,233.5,"0.00","4","2002-09-30","MFL","","","","2002-01-01","VL1218"
"ITA","ITA000025680",NA,"MOD","2013-07-06","2100-12-31","07AN00765","07AN00765","CIONDOLO","00189","Civitanova Marche","IZOS","Y","Y","Y","","","","","FX","OTB","NO","","","","",19.05,17.28,78,29.9,0,257.42,"0.00","2","2002-10-04","MFL","","","","2002-01-01","VL1824"
"ITA","ITA000025686",NA,"MOD","2024-10-22","2100-12-31","01BL00448","01BL00448","TERYLU","00164","Trani","ILGP2","Y","Y","Y","Y","","N","","FX","OTB","GNS","","","","",14.9,14.02,25,9.89,0,104.4,"0.00","1","2002-09-24","MFL","","","","2000-01-01","VL1218"
"ITA","ITA000025687",NA,"MOD","2018-02-01","2100-12-31","01IM01871","01IM01871","FURORE  IV","00002","San Remo","IZQV","Y","Y","Y","","","","","FX","OTB","GNS","","","","",14.72,14.46,29,9.85,0,125,"0.00","1","2002-10-17","MFL","","","","2002-01-01","VL1218"
"ITA","ITA000025692",NA,"MOD","2014-05-31","2100-12-31","01CI00076","01CI00076","SIRIO","00208","Porto Tolle","IUEN","Y","Y","Y","Y","","Y","247051450","FX","OTB","GNS","","","","",16.98,14.74,38,9.73,0,161.7,"0.00","1","2002-10-07","MFL","","","","2002-01-01","VL1218"
"ITA","ITA000025938",NA,"MOD","2023-02-01","2100-12-31","00PS01742","00PS01742","ARIETE","00194","Pesaro","INVP","Y","Y","Y","Y","","N","","FX","OTB","PS","","","","",14.08,12.76,14,10.03,0,195,"0.00","2","2002-11-13","MFL","","","","2002-01-01","VL1218"
"ITA","ITA000025940",NA,"MOD","2008-12-19","2100-12-31","01CI00095","01CI00095","FLIPPER I�","00208","Porto Tolle","IZPM","Y","Y","Y","","","","","FX","OTB","PTM","","","","",17.8,14.9,31,9.76,0,128.7,"0.00","1","2002-11-07","MFL","","","","2002-01-01","VL1218"
"ITA","ITA000025942",8545305,"MOD","2020-08-25","2100-12-31","00CI03411","00CI03411","MISTRAL","00207","Chioggia","IZQJ","Y","Y","Y","Y","","N","","FX","OTB","PTM","","","","",24.8,21.5,166,49.35,0,428,"0.00","2","2002-11-26","MFL","","","","2002-01-01","VL2440"
"ITA","ITA000025951",8585525,"MOD","2023-03-30","2100-12-31","00PC01445","00PC01445","GIULIANA","00172","Pescara","IZRW","Y","Y","Y","Y","","Y","247071040","FX","OTB","NO","","","","",22.82,20.15,129,44.43,0,478,"0.00","1","2002-12-20","MFL","","","","1992-01-01","VL1824"
"ITA","ITA000025952",8653750,"MOD","2016-01-01","2100-12-31","00PC01401","00PC01401","MARIA TERESA","00172","Pescara","IZMB","Y","Y","Y","Y","","Y","247101490","FX","OTB","NO","","","","",27.97,23.59,164,118.66,0,588,"0.00","2","2002-07-11","MFL","","","","2002-01-01","VL2440"
"ITA","ITA000025955",8545317,"MOD","2018-02-24","2100-12-31","00CA03939","00CA03939","RUGGERO","00224","Cagliari","IZNP","Y","N","Y","Y","","Y","247151940","FX","OTB","NO","","","","",29.3,23.57,168,99.84,0,465,"0.00","2","2002-10-08","MFL","","","","1999-01-01","VL2440"
"ITA","ITA000025956",NA,"MOD","2020-08-25","2100-12-31","00MF03209","00MF03209","ROSA DEI VENTI","00167","Manfredonia","IIUM2","Y","Y","N","N","","Y","247128270","FX","OTB","GNS","","","","",13.3,12.86,15,5.78,0,58.8,"0.00","1","2002-09-05","MFL","","","","2002-01-01","VL1218"
"ITA","ITA000025958",NA,"MOD","2021-04-27","2100-12-31","01OR00145","01OR00145","ZINGARO","00175","Vasto","IKMT2","Y","Y","N","N","","Y","247088070","FX","OTB","GNS","","","","",11.02,9.8,6,6.76,0,89.71,"0.00","1","1983-04-12","MFL","","","","1983-01-01","VL0612"
"ITA","ITA000025962",NA,"MOD","2017-09-03","2100-12-31","00SA02604","00SA02604","GAETANO PADRE","00103","Salerno","IZQD","Y","Y","Y","","","","","FX","OTB","NO","","","","",19.56,19.3,65,36.78,0,294,"0.00","1","2002-11-22","MFL","","","","2002-01-01","VL1824"
"ITA","ITA000025971",NA,"MOD","2017-11-13","2100-12-31","00CA03944","00CA03944","NUOVO SPLENDORE II","00224","Cagliari","IZSE","Y","Y","Y","Y","","Y","247150210","FX","OTB","LLS","","","","",28.86,23.96,172,119.32,0,463.68,"0.00","2","2003-01-07","MFL","","","","2002-01-01","VL2440"
"ITA","ITA000025973",NA,"MOD","2009-09-29","2100-12-31","00AN04088","00AN04088","INTREPIDO","00187","Ancona","IZPT","Y","Y","Y","","","","","FX","OTB","LLS","","","","",29.35,23.95,149,90,0,588,"0.00","2","2002-11-12","MFL","","","","1999-01-01","VL2440"
"ITA","ITA000025979",NA,"MOD","2023-02-03","2100-12-31","00MF03211","00MF03211","GIUSY","00167","Manfredonia","IFYJ2","Y","Y","N","Y","","Y","247125780","FX","OTB","NO","","","","",14.72,14.19,27,9.62,0,103.3,"0.00","1","2003-01-16","MFL","","","","2002-01-01","VL1218"
"ITA","ITA000025980",NA,"MOD","2021-12-29","2100-12-31","05RA02280","05RA02280","TORNADO II","00206","Goro","IMFY","Y","Y","Y","Y","","Y","247070610","FX","OTB","PTM","","","","",17.17,16.47,26,9.91,0,233.5,"0.00","4","2003-01-02","MFL","","","","2002-01-01","VL1218"
"ITA","ITA000025983",8545343,"MOD","2020-11-27","2100-12-31","00PC01434","00PC01434","SHARON C.","00172","Pescara","IZTB","Y","Y","Y","Y","","Y","247100320","FX","OTB","NO","","","","",23.09,20.29,149,82.63,0,441,"0.00","2","2003-01-27","MFL","","","","2003-01-01","VL1824"
"ITA","ITA000025992",NA,"MOD","2017-06-06","2100-12-31","00OR00248","00OR00248","GUERRIERO","00173","Ortona","ISQY","Y","Y","Y","","","","","FX","OTB","NO","","","","",16.12,14.07,30,9.95,0,161.5,"0.00","4","2003-01-20","MFL","","","","2002-01-01","VL1218"
"ITA","ITA000025999",NA,"MOD","2020-11-27","2100-12-31","01CI00078","01CI00078","ELENA I","00208","Porto Tolle","IKWW","Y","Y","Y","Y","","Y","247054450","FX","OTB","LLS","","","","",17.8,14.4,28,9.85,0,235,"0.00","4","2003-01-29","MFL","","","","2002-01-01","VL1218"
"ITA","ITA000026025",NA,"MOD","2011-01-12","2100-12-31","00SV05028","00SV05028","CHIMERA","00005","Savona","IMAU","Y","Y","Y","","","","","FX","OTB","NO","","","","",16.12,14.7,33,9.79,0,121.3,"0.00","3","2001-12-03","MFL","","","","2000-01-01","VL1218"
"ITA","ITA000026062",NA,"CST","2003-02-25","2100-12-31","00BR03800","00BR03800","VELENO","00155","Brindisi","","N","Y","N","","","","","FX","OTB","PS","","","","",10.36,8.78,7,6.17,0,74,"0.00","1","2003-02-25","MFL","","","PA","2002-01-01","VL0612"
"ITA","ITA000026063",8652847,"MOD","2016-07-04","2100-12-31","00NA02087M","00NA02087M","GENEVIEVE PRIMA","00082","Napoli","IKAP","Y","Y","Y","Y","","Y","247100410","FX","OTB","PS","","","","",40.5,38.72,330,109.92,0,706,"0.00","2","2003-04-29","MFL","","","","2003-01-01","VL40XX"
"ITA","ITA000026064",8688339,"MOD","2021-12-14","2100-12-31","00MV00382M","00MV00382M","MEDINEA","00273","Mazara Del Vallo","IKBB","Y","Y","Y","Y","","Y","247142580","FX","OTB","NO","","","","",27.72,23.97,158,89.1,0,478,"0.00","2","2003-04-22","MFL","","","","2003-01-01","VL2440"
"ITA","ITA000026067",NA,"MOD","2023-08-25","2100-12-31","00MF03215","00MF03215","NUOVA VALDISOLE","00167","Manfredonia","IFZR2","Y","Y","Y","Y","","Y","247125180","FX","OTB","GNS","","","","",14.28,13.84,30,9.3,0,125,"0.00","1","2003-04-15","MFL","","","","2003-01-01","VL1218"
"ITA","ITA000026070",NA,"MOD","2023-10-27","2100-12-31","00MF03214","00MF03214","ECLISSE","00167","Manfredonia","IFYK2","Y","Y","N","Y","","N","","FX","OTB","NO","","","","",13.23,12.9,21,8.79,0,110,"0.00","1","2003-04-16","MFL","","","","2003-01-01","VL1218"
"ITA","ITA000026094",NA,"MOD","2016-11-14","2100-12-31","00OS01179","00OS01179","SISINNIO PADRE","00227","Oristano","IKMA","Y","Y","Y","Y","","Y","247152130","FX","OTB","NO","","","","",22.5,21.07,158,85.14,0,600.58,"0.00","2","2003-05-19","MFL","","","","2002-01-01","VL1824"
